track_name,track_cc,time,player,date,duration,character,vehicle,tires,glider
Mario Kart Stadium,150,"1'35""293",なすの,2021-01-21,86,Wario,Wild Wiggler,Roller,Paper Glider
Mario Kart Stadium,200,"1'07""620",Army,2021-02-06,70,Wario,Wild Wiggler,Azure Roller,Cloud Glider
Water Park,150,"1'40""597",Alberto,2021-03-19,29,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
Water Park,200,"1'11""107",Alberto,2021-01-18,89,Heavy Mii Mega Man,Biddybuggy,Azure Roller,Paper Glider
Sweet Sweet Canyon,150,"1'48""987",Alberto,2021-02-28,48,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
Sweet Sweet Canyon,200,"1'21""481",Matt,2020-02-22,420,Wario,Biddybuggy,Button,Cloud Glider
Thwomp Ruins,150,"1'50""717",Alberto,2021-02-19,57,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
Thwomp Ruins,200,"1'16""922",Army,2021-04-07,10,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
Mario Circuit,150,"1'45""646",K4I,2021-02-24,52,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
Mario Circuit,200,"1'13""026",ろーる,2021-03-12,36,Heavy Mii,W 25 Silver Arrow,Leaf Tires,Paper Glider
Toad Harbor,150,"2'03""127",K4I,2021-03-12,36,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
Toad Harbor,200,"1'26""461",Army,2020-12-14,124,Wario,Blue Falcon,Crimson Slim,Gold Glider
Twisted Mansion,150,"1'54""816",Alberto,2020-11-08,160,Lemmy,Biddybuggy,Azure Roller,Paper Glider
Twisted Mansion,200,"1'22""502",Rhys,2020-03-18,395,Wario,Yoshi Bike,Button,Paper Glider
Shy Guy Falls,150,"1'56""451",なすの,2020-09-13,216,Waluigi,Mr. Scooty,Azure Roller,Cloud Glider
Shy Guy Falls,200,"1'26""193",Army,2020-05-21,331,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
Sunshine Airport,150,"1'58""569",K4I,2020-11-25,143,Waluigi,Biddybuggy,Azure Roller,Paper Glider
Sunshine Airport,200,"1'28""419",Alberto,2021-03-26,22,Waluigi,Wild Wiggler,Azure Roller,Paper Glider
Dolphin Shoals,150,"1'53""469",StervtL,2021-04-06,11,Rosalina,Streetle,Azure Roller,Paper Glider
Dolphin Shoals,200,"1'22""347",Alberto,2021-02-05,71,Waluigi,Streetle,Azure Roller,Paper Glider
Electrodrome,150,"1'56""709",Alberto,2020-09-22,207,Roy,Biddybuggy,Azure Roller,Paper Glider
Electrodrome,200,"1'23""557",Grant,2020-12-09,129,Roy,Mach 8,Leaf Tires,Cloud Glider
Mount Wario,150,"1'42""450",StervtL,2020-10-01,198,Roy,Biddybuggy,Azure Roller,Paper Glider
Mount Wario,200,"1'15""550",Alberto,2020-09-08,221,Wario,Wild Wiggler,Azure Roller,Paper Glider
Cloudtop Cruise,150,"2'00""285",Alberto,2021-03-14,34,Waluigi,Biddybuggy,Azure Roller,Paper Glider
Cloudtop Cruise,200,"1'29""127",Alberto,2021-03-16,32,Wario,Teddy Buggy,Azure Roller,Paper Glider
Bone-Dry Dunes,150,"1'47""670",Army,2021-01-17,90,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
Bone-Dry Dunes,200,"1'19""901",Panda,2020-07-04,287,Champion Link,Biddybuggy,Azure Roller,Paper Glider
Bowser's Castle,150,"1'59""535",Alberto,2021-03-31,17,Waluigi,Biddybuggy,Azure Roller,Paper Glider
Bowser's Castle,200,"1'26""365",Panda,2021-01-12,95,Dry Bowser,Wild Wiggler,Leaf Tires,Paper Glider
Rainbow Road,150,"1'59""506",ろこあ,2021-02-04,72,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
Rainbow Road,200,"1'32""174",Technical,2021-02-01,75,Yoshi,Biddybuggy,Roller,Paper Glider
Wii Moo Moo Meadows,150,"1'24""796",クロト,2020-10-30,169,Waluigi,Biddybuggy,Roller,Paper Glider
Wii Moo Moo Meadows,200,"0'58""876",Army,2021-01-12,95,Wario,Sneeker,Crimson Slim,Gold Glider
GBA Mario Circuit,150,"1'23""990",クローリン,2021-01-26,81,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
GBA Mario Circuit,200,"1'00""153",StervtL,2021-03-07,41,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
DS Cheep Cheep Beach,150,"1'47""961",Alberto,2020-12-11,127,Roy,Streetle,Azure Roller,Paper Glider
DS Cheep Cheep Beach,200,"1'16""382",Alberto,2020-09-04,225,Dry Bowser,Landship,Azure Roller,Super Glider
N64 Toad's Turnpike,150,"1'46""373",えぢから,2020-11-01,167,Wario,Sport Bike,Slim,Super Glider
N64 Toad's Turnpike,200,"1'12""173",おまる,2021-03-21,27,Heavy Mii Mario,Sport Bike,Metal,Super Glider
GCN Dry Dry Desert,150,"1'53""979",Army,2020-11-11,157,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
GCN Dry Dry Desert,200,"1'17""640",Panda,2021-02-27,49,King Boo,Landship,Azure Roller,Paper Glider
SNES Donut Plains 3,150,"1'13""294",Alpaco,2021-04-12,5,Baby Peach,Biddybuggy,Azure Roller,Cloud Glider
SNES Donut Plains 3,200,"0'55""617",EternalX,2021-03-16,32,Baby Daisy,Biddybuggy,Azure Roller,Parachute
N64 Royal Raceway,150,"1'55""831",そうめん,2020-12-15,123,Waluigi,Biddybuggy,Roller,Paper Glider
N64 Royal Raceway,200,"1'23""976",そうめん,2020-09-05,224,Waluigi,Teddy Buggy,Roller,Gold Glider
3DS DK Jungle,150,"2'01""297",StervtL,2021-03-23,25,Wario,Sports Coupe,Azure Roller,Paper Glider
3DS DK Jungle,200,"1'27""929",Panda,2020-12-23,115,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
DS Wario Stadium,150,"1'51""308",StervtL,2021-01-24,83,Wario,Inkstriker,Azure Roller,Gold Glider
DS Wario Stadium,200,"1'21""974",Pii,2021-04-03,14,Wario,Biddybuggy,Azure Roller,Cloud Glider
GCN Sherbet Land,150,"1'47""570",Alberto,2020-12-08,130,Baby Peach,Biddybuggy,Azure Roller,Parachute
GCN Sherbet Land,200,"1'17""245",Alberto,2021-03-09,39,King Boo,Streetle,Azure Roller,Paper Glider
3DS Music Park,150,"1'51""617",Alberto,2020-10-04,195,Lemmy,Biddybuggy,Azure Roller,Parachute
3DS Music Park,200,"1'23""618",Alberto,2021-03-20,28,Roy,W 25 Silver Arrow,Azure Roller,Super Glider
N64 Yoshi Valley,150,"1'58""731",Alberto,2021-02-22,54,Lemmy,Biddybuggy,Azure Roller,Parachute
N64 Yoshi Valley,200,"1'24""470",StervtL,2021-02-23,53,Waluigi,Wild Wiggler,Azure Roller,Gold Glider
DS Tick-Tock Clock,150,"1'43""465",Alberto,2021-02-26,50,Baby Peach,Biddybuggy,Azure Roller,Parachute
DS Tick-Tock Clock,200,"1'13""660",StervtL,2021-02-10,66,Roy,Biddybuggy,Azure Roller,Paper Glider
3DS Piranha Plant Slide,150,"1'59""623",Alberto,2020-12-22,116,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
3DS Piranha Plant Slide,200,"1'26""471",Pii,2020-08-18,242,Dry Bowser,W 25 Silver Arrow,Leaf Tires,Flower Glider
Wii Grumble Volcano,150,"1'53""565",Panda,2021-03-21,27,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
Wii Grumble Volcano,200,"1'22""472",Panda,2021-04-10,7,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
N64 Rainbow Road,150,"1'20""063",Vincent,2021-04-13,4,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
N64 Rainbow Road,200,"0'56""604",Alberto,2020-08-21,239,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
GCN Yoshi Circuit,150,"1'42""992",Ronny,2020-11-15,153,Waluigi,Biddybuggy,Azure Roller,Paper Glider
GCN Yoshi Circuit,200,"1'13""898",Panda,2021-04-15,2,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
Excitebike Arena,150,"1'40""722",Lemon,2021-04-04,13,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
Excitebike Arena,200,"1'15""464",Pii,2021-02-05,71,Roy,Biddybuggy,Azure Roller,Cloud Glider
Dragon Driftway,150,"1'40""620",Alberto,2021-04-12,5,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
Dragon Driftway,200,"1'16""740",Army,2020-10-30,169,Baby Daisy,Biddybuggy,Leaf Tires,Flower Glider
Mute City,150,"1'51""278",StervtL,2020-06-21,300,Waluigi,Mr. Scooty,Leaf Tires,Paper Glider
Mute City,200,"1'20""738",Pii,2021-02-09,67,Heavy Mii Cpt Falcon,Mach 8,Wood,Cloud Glider
Wii Wario's Gold Mine,150,"2'02""653",frogccoli,2020-05-11,341,Wario,Splat Buggy,Slim,Gold Glider
Wii Wario's Gold Mine,200,"1'25""384",Alberto,2020-12-17,121,Wario,Mach 8,Crimson Slim,Wario Wing
SNES Rainbow Road,150,"1'26""474",Paco,2021-03-30,18,Roy,Biddybuggy,Roller,Cloud Glider
SNES Rainbow Road,200,"1'02""512",alpha,2020-09-08,221,Roy,Biddybuggy,Azure Roller,Parachute
Ice Ice Outpost,150,"1'46""427",Alberto,2021-01-02,105,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
Ice Ice Outpost,200,"1'17""396",StervtL,2020-12-14,124,Wario,Wild Wiggler,Azure Roller,Paper Glider
Hyrule Circuit,150,"1'47""830",エル,2021-02-23,53,Waluigi,Biddybuggy,Azure Roller,Paper Glider
Hyrule Circuit,200,"1'20""667",SuperFX,2020-03-19,394,Roy,Mr. Scooty,Roller,Cloud Glider
GCN Baby Park,150,"1'02""238",alpha,2020-02-29,413,Waluigi,Mr. Scooty,Leaf Tires,Cloud Glider
GCN Baby Park,200,"0'44""967",EternalX,2021-03-24,24,Baby Daisy,Mr. Scooty,Button,Parachute
GBA Cheese Land,150,"1'43""249",SuperFX,2020-12-06,132,Baby Daisy,Biddybuggy,Roller,Cloud Glider
GBA Cheese Land,200,"1'15""969",alpha,2020-12-31,107,Baby Peach,Mr. Scooty,Azure Roller,Parachute
Wild Woods,150,"1'47""166",るるりっく,2021-03-09,39,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
Wild Woods,200,"1'16""754",Alberto,2020-11-17,151,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
Animal Crossing,150,"1'37""243",Army,2021-04-12,5,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
Animal Crossing,200,"1'11""001",4laps2win,2021-01-30,77,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
3DS Neo Bowser City,150,"1'42""918",Alberto,2021-04-05,12,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
3DS Neo Bowser City,200,"1'19""382",Alberto,2020-10-07,192,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
GBA Ribbon Road,150,"1'45""831",Alberto,2020-08-07,253,Waluigi,Biddybuggy,Azure Roller,Paper Glider
GBA Ribbon Road,200,"1'17""561",Army,2021-03-10,38,Roy,Biddybuggy,Azure Roller,Paper Glider
Super Bell Subway,150,"1'40""817",Army,2021-02-20,56,Baby Daisy,Biddybuggy,Azure Roller,Parachute
Super Bell Subway,200,"1'13""445",Alberto,2021-02-08,68,Waluigi,Biddybuggy,Azure Roller,Paper Glider
Big Blue,150,"1'23""583",StervtL,2021-03-01,47,Wario,Mach 8,Leaf Tires,Paper Glider
Big Blue,200,"1'00""666",Ronny,2020-06-27,294,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider